TWEET,Geo,latitude,logitude,id,created_at,retweet_count,coordinates
LASEMA confirms death of six in Epe road accident https://t.co/IFRg9vXd0i #Nigeriatunes,"{'coordinates': [8.96389499, 7.42936372], 'type': 'Point'}",8.96389499,7.42936372,1.24566E+18,Thu Apr 02 10:30:32 +0000 2020,1,"{'coordinates': [7.42936372, 8.96389499], 'type': 'Point'}"
"Vehicle Accident With Fire [Old Toronto]
St. Clair Avenue West @ Avenue Road
Dispatched: 01/04/20 @ 21:52 EDT
[Stn: 311] Pumper-311 Rescue-134
General Area:","{'coordinates': [43.6865391, -79.4014496], 'type': 'Point'}",43.6865391,-79.4014496,1.24553E+18,Thu Apr 02 02:02:05 +0000 2020,0,"{'coordinates': [-79.4014496, 43.6865391], 'type': 'Point'}"
"Vehicle Accident With Fire [Old Toronto]
St. Clair Avenue West @ Avenue Road
Dispatched: 01/04/20 @ 21:52 EDT
[Stn: 311] Pumper-311 Rescue-134
General Area:","{'coordinates': [43.6865391, -79.4014496], 'type': 'Point'}",43.6865391,-79.4014496,1.24553E+18,Thu Apr 02 02:02:04 +0000 2020,0,"{'coordinates': [-79.4014496, 43.6865391], 'type': 'Point'}"
"Even with less people on the road, car accidents are still happening every single day and many of these people will need representation. 🚔 If you have been in an accident #AzHometownLawfirm is here for you 24/7 ☎️… https://t.co/pBAPAOxvhM","{'coordinates': [33.4482, -112.0777], 'type': 'Point'}",33.4482,-112.0777,1.24546E+18,Wed Apr 01 21:12:41 +0000 2020,0,"{'coordinates': [-112.0777, 33.4482], 'type': 'Point'}"
"#TransformationTuesday Apologies for the gnarly selfie, but the past few months have been pretty intense. On January 15th on the way work, I was involved in a road traffic accident where a lorry crashed into the car… https://t.co/3geyBVTzmv","{'coordinates': [50.93307927, -1.43419645], 'type': 'Point'}",50.93307927,-1.43419645,1.24506E+18,Tue Mar 31 18:41:43 +0000 2020,0,"{'coordinates': [-1.43419645, 50.93307927], 'type': 'Point'}"
Amazing what you can find at the side of the road. Almost half a car here. 😂Looks like a Vauxhall Corsa has had an accident. Whoops! 😬 @ Skelmersdale https://t.co/PSotd7qIlR,"{'coordinates': [53.54935, -2.77568], 'type': 'Point'}",53.54935,-2.77568,1.24491E+18,Tue Mar 31 08:44:02 +0000 2020,0,"{'coordinates': [-2.77568, 53.54935], 'type': 'Point'}"
"Vehicle Accident (trapped) [Scarborough]
Sheppard Avenue
b/w Hedge End Road / Meadowvale Road Trail
Dispatched: 30/03/20 @ 13:42 EDT
[Stn: 212] DistChief-21 Pumper-212 Rescue-243 Squad-232
General Area:","{'coordinates': [43.8076523, -79.1738663], 'type': 'Point'}",43.8076523,-79.1738663,1.24468E+18,Mon Mar 30 17:52:02 +0000 2020,0,"{'coordinates': [-79.1738663, 43.8076523], 'type': 'Point'}"
"Vehicle Accident (trapped) [Scarborough]
Sheppard Avenue
b/w Hedge End Road / Meadowvale Road Trail
Dispatched: 30/03/20 @ 13:42 EDT
[Stn: 212] DistChief-21 Pumper-212 Rescue-243 Squad-232
General Area:","{'coordinates': [43.8076523, -79.1738663], 'type': 'Point'}",43.8076523,-79.1738663,1.24468E+18,Mon Mar 30 17:52:02 +0000 2020,0,"{'coordinates': [-79.1738663, 43.8076523], 'type': 'Point'}"
"An Asian man,  28 years old was killed yesterday evening in a road accident in Salmania.The incident occurred near the Al Hawaj intersection. The deceased, who was of Indian nationality, was riding his motorbike when… https://t.co/ok2H33Zpyw","{'coordinates': [26.2208, 50.5849], 'type': 'Point'}",26.2208,50.5849,1.24467E+18,Mon Mar 30 17:10:47 +0000 2020,0,"{'coordinates': [50.5849, 26.2208], 'type': 'Point'}"
"Vehicle Accident (trapped) [North York]
Don Mills Road @ Eglinton Avenue East
Dispatched: 27/03/20 @ 10:48 EDT
[Stn: 125] DistChief-32 Pumper-125 Rescue-235 Squad-313
General Area:","{'coordinates': [43.7204298, -79.338622], 'type': 'Point'}",43.7204298,-79.338622,1.24355E+18,Fri Mar 27 14:56:03 +0000 2020,0,"{'coordinates': [-79.338622, 43.7204298], 'type': 'Point'}"
